row_index,query_gene,partner_uniprot,raw_logit,variance,adjusted_logit,probability
0,ERN1,O75460,1.8220069408416748,0.12569287419319153,1.778639316558838,0.855528712272644
1,ERN1,P11021,0.5707970261573792,0.0908430963754654,0.5608803033828735,0.6366562247276306
2,ERN1,Q15084,0.8037887811660767,0.0874580591917038,0.7903314828872681,0.6879025101661682
3,ERN1,P61619,0.5369015336036682,0.08462738990783691,0.5281965136528015,0.6290624141693115
4,ERN1,P13569,1.0196655988693237,0.08679428696632385,1.0027203559875488,0.7315930724143982
5,ERN1,Q9NYK1,0.16513997316360474,0.10194005817174911,0.16193059086799622,0.5403944253921509
6,ERN1,Q8TCJ2,1.0120054483413696,0.07424069195985794,0.9975682497024536,0.73058021068573
7,ERN1,Q86YC3,0.6051103472709656,0.11955936253070831,0.5913865566253662,0.6436832547187805
8,ERN1,Q8NCR0,0.41200387477874756,0.10677994787693024,0.40362823009490967,0.5995590686798096
9,ERN1,P45844,1.5144367218017578,0.07230793684720993,1.4933825731277466,0.8165854215621948
10,ERN1,O43909,0.4887635111808777,0.09310585260391235,0.48006606101989746,0.6177635192871094
11,ERN1,Q96S52,1.1223077774047852,0.08167119324207306,1.1047320365905762,0.7511456608772278
12,ERN1,Q5VV42,1.6826691627502441,0.08946910500526428,1.653866171836853,0.8394128680229187
13,ERN1,Q8NEN9,0.33350494503974915,0.07732453942298889,0.3285539150238037,0.5814074873924255
14,ERN1,O95427,0.8093854188919067,0.10230063647031784,0.7936015725135803,0.6886041164398193
15,ERN1,Q9NTJ5,1.2112841606140137,0.09869614243507385,1.188471794128418,0.7664676308631897
16,ERN1,Q9P246,0.6764931678771973,0.06881523132324219,0.6675336956977844,0.6609507203102112
17,ERN1,Q96HA1,-0.24960723519325256,0.09434306621551514,-0.24510809779167175,0.43902790546417236
18,ERN1,Q9HBI6,0.9344323873519897,0.08757203817367554,0.9187679290771484,0.714790940284729
19,ERN1,Q96KA5,1.0064878463745117,0.09292791783809662,0.9886109232902527,0.7288134694099426
20,ERN1,Q13563,1.416771650314331,0.09178240597248077,1.3919093608856201,0.8008968234062195
21,ERN1,Q8IW70,0.31647032499313354,0.11320872604846954,0.309661865234375,0.5768027305603027
22,ERN1,Q9BSJ8,0.7783868312835693,0.07614187896251678,0.7670043110847473,0.6828725337982178
23,ERN1,O00237,1.2734713554382324,0.09552496671676636,1.2502374649047852,0.7773409485816956
24,ERN1,Q9UKV5,1.106272578239441,0.08297386765480042,1.0886781215667725,0.7481327056884766
25,ERN1,Q96MT1,0.8599638938903809,0.10114317387342453,0.843377947807312,0.6991761922836304
26,ERN1,Q8TED4,0.48844894766807556,0.09427390992641449,0.47965100407600403,0.6176654100418091
27,ERN1,Q9BYH1,0.41207095980644226,0.07206831872463226,0.4063608646392822,0.600214958190918
28,ERN1,P27824,0.5242012739181519,0.07875565439462662,0.5162785053253174,0.6262771487236023
29,ERN1,Q9H4D0,0.5768938064575195,0.08861303329467773,0.5671109557151794,0.6380963325500488
30,ERN1,P22680,1.0022145509719849,0.07468682527542114,0.9878330230712891,0.7286596894264221
31,ERN1,P16615,1.02170729637146,0.10900623351335526,1.0005172491073608,0.7311602234840393
32,ERN1,Q9NP80,0.9959509372711182,0.07193106412887573,0.9821757078170776,0.7275397181510925
33,ERN1,Q96BA8,0.5112836360931396,0.07663221657276154,0.5037599205970764,0.6233425140380859
34,ERN1,O43520,0.715613603591919,0.09970787167549133,0.7020020484924316,0.6686314940452576
35,ERN1,Q9HCP6,0.6544047594070435,0.08040018379688263,0.64431232213974,0.6557276248931885
36,ERN1,Q7Z2W7,0.5254298448562622,0.08367009460926056,0.5170048475265503,0.6264471411705017
37,ERN1,Q9HDC5,0.2942184805870056,0.061388179659843445,0.2907349765300751,0.5721760392189026
38,ERN1,Q9Y6N7,0.18389615416526794,0.08834926038980484,0.18078672885894775,0.5450739860534668
39,ERN1,Q5T9L3,0.20657914876937866,0.08831413835287094,0.20308753848075867,0.55059814453125
40,ERN1,Q6P1M0,0.8286337852478027,0.0885627269744873,0.8145897388458252,0.6930866837501526
41,ERN1,Q96AA3,0.904081404209137,0.09140037000179291,0.8882805109024048,0.7085351943969727
